Date,CHIP.L,CMOD.L,COPA.L,CRUD.L,DFNS.L,EQQQ.L,IBTG.L,IGLT.L,IITU.L,IJPN.L,INDI.L,INRG.L,ISF.L,IUES.L,IUFS.L,PHAG.L,SGLN.L,SMGB.L,UKDV.L,VUSA.L,VWRP.L
2024-12-06,9.355500221252441,22.700000762939453,37.72999954223633,9.324999809265137,37.86000061035156,41410.546875,4.323362350463867,9.429496765136719,2704.0,1408.4884033203125,,543.4247436523438,810.976806640625,9.170000076293945,14.577500343322754,28.649999618530273,4024.0,32.595001220703125,10.20914077758789,88.88677215576172,112.76000213623047
2024-12-09,10.020500183105469,22.94499969482422,38.33000183105469,9.467000007629395,36.69499969482422,41070.56640625,4.322900295257568,9.438859939575195,2687.0,1396.992431640625,,553.1732788085938,815.174072265625,9.217499732971191,14.494999885559082,29.389999389648438,4052.0,32.400001525878906,10.186909675598145,88.3134765625,112.4800033569336
2024-12-10,9.515999794006348,23.017499923706055,38.18000030517578,9.511500358581543,36.59000015258789,41114.56640625,4.319665908813477,9.40140438079834,2670.0,1391.7445068359375,,544.549560546875,807.9786376953125,9.170000076293945,14.4399995803833,29.25,4096.0,31.770000457763672,10.072970390319824,88.37964630126953,112.05999755859375
2024-12-11,9.441499710083008,23.217500686645508,38.22999954223633,9.598999977111816,36.42499923706055,41707.52734375,4.31943416595459,9.392041206359863,2700.0,1407.9886474609375,,540.5501098632812,809.477783203125,9.052499771118164,14.395000457763672,29.440000534057617,4140.0,32.209999084472656,10.143372535705566,88.83776092529297,112.54000091552734
2024-12-12,9.468000411987305,23.012500762939453,37.95000076293945,9.536999702453613,36.69499969482422,41752.8828125,4.320358753204346,9.38267707824707,2696.0,1405.9892578125,,541.4249267578125,805.3299560546875,9.012499809265137,14.425000190734863,28.40999984741211,4099.0,32.16999816894531,10.08779239654541,89.02323150634766,112.73999786376953
2024-12-13,9.414999961853027,22.969999313354492,37.56999969482422,9.748000144958496,36.502498626708984,41990.37109375,4.320358753204346,9.342880249023438,2712.0,1391.9945068359375,,540.925048828125,804.3306274414062,8.963749885559082,14.380000114440918,27.950000762939453,4096.0,33.10749816894531,10.097054481506348,89.24187469482422,112.9000015258789
2024-12-16,9.298999786376953,22.899999618530273,37.54999923706055,9.697500228881836,36.75,42379.8515625,4.314351558685303,9.314788818359375,2725.0,1377.99951171875,,534.1759033203125,800.5328369140625,8.852499961853027,14.324999809265137,28.020000457763672,4060.0,33.70249938964844,10.058149337768555,89.05516815185547,112.4800033569336
2024-12-17,9.366000175476074,22.594999313354492,37.119998931884766,9.5649995803833,36.189998626708984,42407.8515625,4.31851053237915,9.27733325958252,2732.0,1372.7513427734375,,532.05126953125,794.3364868164062,8.636249542236328,14.225000381469727,27.93000030517578,4035.0,33.51750183105469,9.930315971374512,88.69406127929688,111.94000244140625
2024-12-18,9.357999801635742,22.738750457763672,37.2400016784668,9.760000228881836,36.42250061035156,42375.8515625,4.32266902923584,9.258604049682617,2744.0,1373.5009765625,,534.4259033203125,794.5364379882812,8.682499885559082,14.239999771118164,27.670000076293945,4039.0,33.8849983215332,9.968295097351074,88.91515350341797,112.08000183105469
2024-12-19,9.43649959564209,22.457500457763672,36.6349983215332,9.581999778747559,35.77000045776367,41507.890625,4.313427448272705,9.23636531829834,2711.0,1359.00634765625,,524.92724609375,786.3411254882812,8.427499771118164,13.9399995803833,26.5,4011.0,32.58000183105469,9.837682723999023,87.65496826171875,110.66000366210938
2024-12-20,9.451000213623047,22.706249237060547,36.81999969482422,9.579999923706055,35.9900016784668,41627.88671875,4.318048477172852,9.284355163574219,2723.0,1358.506591796875,,525.9270629882812,785.041748046875,8.46500015258789,14.085000038146973,26.975000381469727,4056.0,32.80500030517578,9.815449714660645,88.12907409667969,110.91000366210938
2024-12-23,9.447999954223633,22.69499969482422,36.54999923706055,9.505000114440918,36.19499969482422,41761.3828125,4.314120292663574,9.25626277923584,2744.0,1355.5076904296875,,531.9263305664062,786.2411499023438,8.44124984741211,13.994999885559082,27.110000610351562,4056.0,33.3849983215332,9.83027172088623,88.24207305908203,111.13999938964844
2024-12-24,9.571000099182129,22.862499237060547,36.904998779296875,9.64050006866455,36.41749954223633,41983.87109375,4.316431045532227,9.260945320129395,2764.0,1361.75537109375,,534.9258422851562,789.2394409179688,8.532500267028809,14.074999809265137,27.065000534057617,4049.0,33.79999923706055,9.879366874694824,88.74319458007812,111.5999984741211
2024-12-27,9.494500160217285,22.912500381469727,37.04999923706055,9.738499641418457,36.23749923706055,41616.38671875,4.318048477172852,9.209444046020508,2735.0,1382.9976806640625,,527.1769409179688,790.7385864257812,8.587499618530273,14.1899995803833,27.03499984741211,4047.0,33.532501220703125,9.873808860778809,88.31332397460938,111.23999786376953
2024-12-30,9.493000030517578,23.022499084472656,36.63999938964844,9.79800033569336,36.20500183105469,41399.40625,4.322437763214111,9.221148490905762,2726.0,1375.00048828125,,523.4274291992188,788.3399047851562,8.550000190734863,14.050000190734863,26.434999465942383,4034.0,33.125,9.865471839904785,87.8441390991211,110.80000305175781
2024-12-31,9.378999710083008,23.022499084472656,36.38999938964844,9.878999710083008,36.334999084472656,41537.38671875,4.326365947723389,9.251581192016602,2736.0,1375.750244140625,,530.176513671875,792.6373291015625,8.582500457763672,14.09000015258789,26.459999084472656,4046.0,33.310001373291016,9.946989059448242,88.07503509521484,111.16000366210938
2025-01-02,9.297499656677246,23.309999465942383,36.11000061035156,10.140000343322754,36.32500076293945,41704.8828125,4.327520847320557,9.232852935791016,2738.0,1397.242431640625,,539.4252319335938,801.6321411132812,8.774999618530273,14.095000267028809,27.05500030517578,4175.0,33.752498626708984,9.94884204864502,88.86357879638672,112.1500015258789
2025-01-03,9.204500198364258,23.046249389648438,36.54499816894531,10.142999649047852,36.5625,41834.8828125,4.325441360473633,9.225830078125,2745.0,1387.995849609375,,539.6752319335938,799.33349609375,8.823749542236328,14.079999923706055,27.290000915527344,4135.0,33.96500015258789,9.92660903930664,88.85865020751953,112.08999633789062
2025-01-06,9.13599967956543,23.270000457763672,37.61000061035156,10.185999870300293,36.97999954223633,42352.35546875,4.326595783233643,9.21412467956543,2791.0,1390.744873046875,,544.1746215820312,802.83154296875,8.904999732971191,14.220000267028809,27.625,4095.0,35.3650016784668,9.94884204864502,89.46295928955078,112.8499984741211
2025-01-07,9.11299991607666,23.27750015258789,37.66999816894531,10.206500053405762,36.60499954223633,41753.8828125,4.324285984039307,9.183692932128906,2740.0,1390.2449951171875,,546.5492553710938,802.3318481445312,8.895000457763672,14.135000228881836,27.600000381469727,4127.0,34.98500061035156,9.922904968261719,88.65968322753906,112.19000244140625
2025-01-08,9.121000289916992,23.260000228881836,38.209999084472656,10.100000381469727,36.5,41880.37890625,4.326365947723389,9.113463401794434,2747.0,1392.9940185546875,,537.9254150390625,802.4317016601562,8.859999656677246,14.055000305175781,27.639999389648438,4196.0,34.61000061035156,9.83027172088623,89.11412811279297,112.5999984741211
2025-01-09,9.174500465393066,23.46875,38.63999938964844,10.208499908447266,36.72999954223633,41976.37109375,4.32590389251709,9.118145942687988,2749.0,1385.99658203125,,537.9254150390625,808.2283935546875,8.893750190734863,14.055000305175781,27.690000534057617,4218.0,34.814998626708984,9.896966934204102,89.49243927001953,113.0199966430664
2025-01-10,9.04699993133545,23.795000076293945,38.58000183105469,10.383000373840332,36.59749984741211,41605.88671875,4.322206974029541,9.092394828796387,2706.0,1374.0008544921875,,526.927001953125,801.4322509765625,8.887499809265137,13.75,27.875,4284.0,34.3025016784668,9.763574600219727,88.77022552490234,112.22000122070312
2025-01-13,9.092499732971191,24.092500686645508,38.900001525878906,10.61299991607666,36.89250183105469,41431.3984375,4.322206974029541,9.0736665725708,2680.0,1373.7509765625,,525.17724609375,798.43408203125,9.135000228881836,13.779999732971191,27.204999923706055,4261.0,33.994998931884766,9.760794639587402,88.74319458007812,112.01000213623047
2025-01-14,9.293499946594238,24.010000228881836,38.97999954223633,10.501999855041504,37.30500030517578,41614.88671875,4.321282863616943,9.054939270019531,2692.0,1373.251220703125,,530.426513671875,796.6351318359375,9.109999656677246,13.920000076293945,27.3799991607666,4258.0,34.060001373291016,9.70799446105957,89.08956146240234,112.47000122070312
2025-01-15,9.26550006866455,24.27375030517578,39.369998931884766,10.72599983215332,37.70000076293945,42338.85546875,4.330292701721191,9.167305946350098,2736.5,1386.9962158203125,,538.67529296875,805.9296875,9.300000190734863,14.3149995803833,27.829999923706055,4274.0,34.79999923706055,9.920125007629395,90.4111557006836,113.87999725341797
2025-01-16,9.276000022888184,24.229999542236328,39.75,10.571999549865723,38.30500030517578,42481.84765625,4.336761951446533,9.2129545211792,2734.0,1373.1365966796875,,536.4256591796875,815.2243041992188,9.335000038146973,14.444999694824219,28.219999313354492,4318.0,35.6150016784668,10.006275177001953,90.56837463378906,114.36000061035156
2025-01-17,9.477999687194824,24.3075008392334,39.279998779296875,10.630499839782715,38.3849983215332,43003.8203125,4.336069107055664,9.228171348571777,2772.0,1382.6341552734375,,542.9247436523438,825.7181396484375,9.460000038146973,14.574999809265137,27.84000015258789,4328.0,35.96500015258789,10.16745662689209,91.76467895507812,115.77999877929688
2025-01-20,9.588500022888184,24.125,38.744998931884766,10.524999618530273,38.599998474121094,42861.82421875,4.335145473480225,9.221148490905762,2757.0,1383.3839111328125,,542.4248046875,827.81689453125,9.452500343322754,14.704999923706055,27.979999542236328,4274.0,36.147499084472656,10.158193588256836,91.21443939208984,115.4000015258789
2025-01-21,9.424500465393066,24.18375015258789,39.02000045776367,10.521499633789062,39.29499816894531,42631.8359375,4.331910610198975,9.27499008178711,2732.0,1387.8826904296875,,528.1768188476562,830.515380859375,9.444999694824219,14.720000267028809,28.1299991607666,4324.0,36.00749969482422,10.208216667175293,91.22671508789062,115.36000061035156
